@relation 'mmg-weka.filters.unsupervised.instance.ReservoirSample-S1-Z500-weka.filters.unsupervised.attribute.Remove-V-R5,9,38,81,83,97,99-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L195-weka.filters.unsupervised.instance.RemoveFrequentValues-Clast-N20-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last'

@attribute timeContext_timeZone {Europe/Vienna,Europe/Amsterdam,Europe/Zurich,Europe/Sarajevo,Europe/London,Europe/Budapest,Africa/Ceuta}
@attribute locationContext_provider {network,gps}
@attribute phoneContext_state numeric
@attribute accelerationContext_accelerationStandardDeviation numeric
@attribute orientationContext_orientationDevice numeric
@attribute activityContext_activity {unspecified,eating,working,traveling,relaxing,sports,shopping,romancing}
@attribute musicContext_Artist {'The Heavy','Fiona Apple','Die Fantastischen Vier',P!nk,'Red Hot Chili Peppers','Ani DiFranco','Daft Punk','Pearl Jam','Kanye West',STS,'Letzte Instanz','Sportfreunde Stiller','Bob Dylan',Casper,'Caravan Palace','Lamb of God',Wizkid,'Asian Dub Foundation','Mumford & Sons','King Crimson'}

@data
Europe/Vienna,network,0,0.29,1,sports,'Mumford & Sons'
Europe/Vienna,gps,0,0.05,1,traveling,'Mumford & Sons'
Europe/Vienna,gps,0,1.3,3,sports,'Fiona Apple'
Europe/Amsterdam,network,1,0.1,0,unspecified,'Sportfreunde Stiller'
Europe/Vienna,network,0,0.96,5,unspecified,'Letzte Instanz'
Europe/Vienna,network,0,0,5,unspecified,Wizkid
Europe/Vienna,network,0,0.27,0,relaxing,'Daft Punk'
Europe/Vienna,?,0,2.02,1,shopping,'Bob Dylan'
Europe/Vienna,network,1,0,4,unspecified,'Daft Punk'
Europe/Vienna,gps,0,0.22,1,working,'Die Fantastischen Vier'
Europe/Vienna,network,1,0,1,unspecified,'Die Fantastischen Vier'
Europe/Amsterdam,network,1,0.06,0,unspecified,'Sportfreunde Stiller'
Africa/Ceuta,network,0,0.04,1,unspecified,'King Crimson'
Europe/Sarajevo,network,0,0.34,?,traveling,'Lamb of God'
Europe/Vienna,network,0,0.04,1,relaxing,'Bob Dylan'
Europe/Vienna,network,0,0.15,1,unspecified,'The Heavy'
Europe/Vienna,network,0,0.02,1,working,'Ani DiFranco'
Europe/Vienna,gps,0,0.58,1,unspecified,Casper
Europe/Sarajevo,gps,0,3.73,?,sports,'Lamb of God'
Europe/Vienna,network,0,0.75,5,unspecified,'Red Hot Chili Peppers'
Africa/Ceuta,gps,0,0.38,1,working,'King Crimson'
Europe/Vienna,network,0,0.05,5,relaxing,'Daft Punk'
Europe/Vienna,network,0,0.14,5,unspecified,'The Heavy'
